symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.6223,1.6476,0.3777,1772553600000
BTCUSDT,0.5965,1.4783,0.4035,1772568000000
BTCUSDT,0.5883,1.4290,0.4117,1772582400000
BTCUSDT,0.5890,1.4331,0.4110,1772596800000
BTCUSDT,0.5734,1.3441,0.4266,1772611200000
BTCUSDT,0.4707,0.8893,0.5293,1772625600000
BTCUSDT,0.4849,0.9414,0.5151,1772640000000
BTCUSDT,0.4652,0.8699,0.5348,1772654400000
BTCUSDT,0.4460,0.8051,0.5540,1772668800000
BTCUSDT,0.4494,0.8162,0.5506,1772683200000
BTCUSDT,0.4587,0.8474,0.5413,1772697600000
BTCUSDT,0.4756,0.9069,0.5244,1772712000000
BTCUSDT,0.4996,0.9984,0.5004,1772726400000
BTCUSDT,0.5322,1.1377,0.4678,1772740800000
BTCUSDT,0.5386,1.1673,0.4614,1772755200000
BTCUSDT,0.5496,1.2202,0.4504,1772769600000
BTCUSDT,0.5665,1.3068,0.4335,1772784000000
BTCUSDT,0.5702,1.3267,0.4298,1772798400000
BTCUSDT,0.6197,1.6295,0.3803,1772812800000
BTCUSDT,0.6362,1.7488,0.3638,1772827200000
BTCUSDT,0.6465,1.8289,0.3535,1772841600000
BTCUSDT,0.6571,1.9163,0.3429,1772856000000
BTCUSDT,0.6520,1.8736,0.3480,1772870400000
BTCUSDT,0.6584,1.9274,0.3416,1772884800000
BTCUSDT,0.6600,1.9412,0.3400,1772899200000
BTCUSDT,0.6522,1.8752,0.3478,1772913600000
BTCUSDT,0.6564,1.9104,0.3436,1772928000000
BTCUSDT,0.6573,1.9180,0.3427,1772942400000
BTCUSDT,0.6598,1.9394,0.3402,1772956800000
BTCUSDT,0.6757,2.0836,0.3243,1772971200000
BTCUSDT,0.6772,2.0979,0.3228,1772985600000
BTCUSDT,0.6816,2.1407,0.3184,1773000000000
BTCUSDT,0.6814,2.1387,0.3186,1773014400000
BTCUSDT,0.6822,2.1466,0.3178,1773028800000
BTCUSDT,0.6807,2.1319,0.3193,1773043200000
BTCUSDT,0.6693,2.0239,0.3307,1773057600000
BTCUSDT,0.6040,1.5253,0.3960,1773072000000
BTCUSDT,0.6078,1.5497,0.3922,1773086400000
BTCUSDT,0.5972,1.4826,0.4028,1773100800000
BTCUSDT,0.5756,1.3563,0.4244,1773115200000
BTCUSDT,0.5590,1.2676,0.4410,1773129600000
BTCUSDT,0.5391,1.1697,0.4609,1773144000000
BTCUSDT,0.5230,1.0964,0.4770,1773158400000
