symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.6588,1.9308,0.3412,1772553600000
BTCUSDT,0.6336,1.7293,0.3664,1772568000000
BTCUSDT,0.6274,1.6838,0.3726,1772582400000
BTCUSDT,0.6234,1.6553,0.3766,1772596800000
BTCUSDT,0.6019,1.5119,0.3981,1772611200000
BTCUSDT,0.5046,1.0186,0.4954,1772625600000
BTCUSDT,0.5047,1.0190,0.4953,1772640000000
BTCUSDT,0.4871,0.9497,0.5129,1772654400000
BTCUSDT,0.4749,0.9044,0.5251,1772668800000
BTCUSDT,0.4832,0.9350,0.5168,1772683200000
BTCUSDT,0.4944,0.9778,0.5056,1772697600000
BTCUSDT,0.5060,1.0243,0.4940,1772712000000
BTCUSDT,0.5340,1.1459,0.4660,1772726400000
BTCUSDT,0.5680,1.3148,0.4320,1772740800000
BTCUSDT,0.5739,1.3469,0.4261,1772755200000
BTCUSDT,0.5698,1.3245,0.4302,1772769600000
BTCUSDT,0.5859,1.4149,0.4141,1772784000000
BTCUSDT,0.5922,1.4522,0.4078,1772798400000
BTCUSDT,0.6472,1.8345,0.3528,1772812800000
BTCUSDT,0.6632,1.9691,0.3368,1772827200000
BTCUSDT,0.6710,2.0395,0.3290,1772841600000
BTCUSDT,0.6651,1.9860,0.3349,1772856000000
BTCUSDT,0.6655,1.9895,0.3345,1772870400000
BTCUSDT,0.6701,2.0312,0.3299,1772884800000
BTCUSDT,0.6714,2.0432,0.3286,1772899200000
BTCUSDT,0.6697,2.0276,0.3303,1772913600000
BTCUSDT,0.6734,2.0618,0.3266,1772928000000
BTCUSDT,0.6697,2.0276,0.3303,1772942400000
BTCUSDT,0.6733,2.0609,0.3267,1772956800000
BTCUSDT,0.6876,2.2010,0.3124,1772971200000
BTCUSDT,0.6896,2.2216,0.3104,1772985600000
BTCUSDT,0.6912,2.2383,0.3088,1773000000000
BTCUSDT,0.6968,2.2982,0.3032,1773014400000
BTCUSDT,0.6895,2.2206,0.3105,1773028800000
BTCUSDT,0.6873,2.1980,0.3127,1773043200000
BTCUSDT,0.6761,2.0874,0.3239,1773057600000
BTCUSDT,0.6134,1.5867,0.3866,1773072000000
BTCUSDT,0.6167,1.6089,0.3833,1773086400000
BTCUSDT,0.6086,1.5549,0.3914,1773100800000
BTCUSDT,0.5895,1.4361,0.4105,1773115200000
BTCUSDT,0.5739,1.3469,0.4261,1773129600000
BTCUSDT,0.5560,1.2523,0.4440,1773144000000
BTCUSDT,0.5428,1.1872,0.4572,1773158400000
BTCUSDT,0.5545,1.2447,0.4455,1773172800000
BTCUSDT,0.5702,1.3267,0.4298,1773187200000
BTCUSDT,0.5661,1.3047,0.4339,1773201600000
BTCUSDT,0.5746,1.3507,0.4254,1773216000000
BTCUSDT,0.5775,1.3669,0.4225,1773230400000
BTCUSDT,0.5696,1.3234,0.4304,1773244800000
BTCUSDT,0.5565,1.2548,0.4435,1773259200000
BTCUSDT,0.5547,1.2457,0.4453,1773273600000
BTCUSDT,0.5809,1.3861,0.4191,1773288000000
BTCUSDT,0.5950,1.4691,0.4050,1773302400000
BTCUSDT,0.5706,1.3288,0.4294,1773316800000
BTCUSDT,0.5674,1.3116,0.4326,1773331200000
BTCUSDT,0.5646,1.2967,0.4354,1773345600000
BTCUSDT,0.5553,1.2487,0.4447,1773360000000
BTCUSDT,0.5321,1.1372,0.4679,1773374400000
BTCUSDT,0.5185,1.0768,0.4815,1773388800000
BTCUSDT,0.5014,1.0056,0.4986,1773403200000
BTCUSDT,0.4913,0.9658,0.5087,1773417600000
BTCUSDT,0.5324,1.1386,0.4676,1773432000000
BTCUSDT,0.5475,1.2099,0.4525,1773446400000
BTCUSDT,0.5575,1.2599,0.4425,1773460800000
BTCUSDT,0.5615,1.2805,0.4385,1773475200000
BTCUSDT,0.5675,1.3121,0.4325,1773489600000
BTCUSDT,0.5679,1.3143,0.4321,1773504000000
BTCUSDT,0.5722,1.3375,0.4278,1773518400000
BTCUSDT,0.5759,1.3579,0.4241,1773532800000
BTCUSDT,0.5785,1.3725,0.4215,1773547200000
BTCUSDT,0.5691,1.3207,0.4309,1773561600000
BTCUSDT,0.5629,1.2878,0.4371,1773576000000
BTCUSDT,0.5497,1.2207,0.4503,1773590400000
BTCUSDT,0.5549,1.2467,0.4451,1773604800000
BTCUSDT,0.5365,1.1575,0.4635,1773619200000
BTCUSDT,0.5137,1.0563,0.4863,1773633600000
BTCUSDT,0.4924,0.9701,0.5076,1773648000000
BTCUSDT,0.5007,1.0028,0.4993,1773662400000
BTCUSDT,0.4925,0.9704,0.5075,1773676800000
BTCUSDT,0.4892,0.9577,0.5108,1773691200000
BTCUSDT,0.4843,0.9391,0.5157,1773705600000
BTCUSDT,0.4894,0.9585,0.5106,1773720000000
