symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,78942.34400000,5346644423.51064300,19997062.00000000,1772553600000
BTCUSDT,78723.51200000,5384386997.83143400,19997062.00000000,1772568000000
BTCUSDT,79135.72500000,5404964066.26398700,19997062.00000000,1772582400000
BTCUSDT,79836.02000000,5405905924.90036000,19997462.00000000,1772596800000
BTCUSDT,82152.13000000,5707518173.89263100,19997462.00000000,1772611200000
BTCUSDT,89859.17100000,6387543896.37217800,19997462.00000000,1772625600000
BTCUSDT,91517.09100000,6712275280.84950000,19997462.00000000,1772640000000
BTCUSDT,91527.63300000,6734511708.50700000,19997462.00000000,1772654400000
BTCUSDT,91427.87100000,6643426773.96707900,19997462.00000000,1772668800000
BTCUSDT,91401.99400000,6623856804.18300000,19997890.00000000,1772683200000
BTCUSDT,91136.39400000,6563560008.04535000,19997890.00000000,1772697600000
BTCUSDT,89867.42000000,6550078659.38210200,19997890.00000000,1772712000000
BTCUSDT,86570.22200000,6199039960.94670100,19997890.00000000,1772726400000
BTCUSDT,84371.85700000,5983908242.28991000,19997890.00000000,1772740800000
BTCUSDT,83431.39900000,5911950970.55895900,19997890.00000000,1772755200000
BTCUSDT,82996.14900000,5896718693.76690000,19998406.00000000,1772769600000
BTCUSDT,81882.46600000,5815104405.64820000,19998406.00000000,1772784000000
BTCUSDT,82042.56100000,5759393122.69487400,19998406.00000000,1772798400000
BTCUSDT,83449.58300000,5713908830.45451800,19998406.00000000,1772812800000
BTCUSDT,83462.38200000,5683946792.72580000,19998406.00000000,1772827200000
BTCUSDT,83334.53900000,5674898107.46461600,19998406.00000000,1772841600000
BTCUSDT,83808.90900000,5706841210.75254300,19998862.00000000,1772856000000
BTCUSDT,84659.31300000,5740697218.94220000,19998862.00000000,1772870400000
BTCUSDT,84465.35800000,5741617175.40800000,19998862.00000000,1772884800000
BTCUSDT,83979.85000000,5697604525.26500000,19998862.00000000,1772899200000
BTCUSDT,83796.80100000,5618407913.44800000,19998862.00000000,1772913600000
BTCUSDT,83750.58000000,5630727369.61800000,19998862.00000000,1772928000000
BTCUSDT,84340.14900000,5649322464.40740000,19999281.00000000,1772942400000
BTCUSDT,84598.78500000,5692461250.47113800,19999281.00000000,1772956800000
BTCUSDT,82603.37900000,5574910309.04790000,19999281.00000000,1772971200000
BTCUSDT,82704.64000000,5555745844.11434100,19999281.00000000,1772985600000
BTCUSDT,82467.05600000,5549950401.74400000,19999281.00000000,1773000000000
BTCUSDT,82092.11000000,5412771325.09000000,19999281.00000000,1773014400000
BTCUSDT,81293.14600000,5460365819.58663700,19999696.00000000,1773028800000
BTCUSDT,81057.90200000,5471797462.92960000,19999696.00000000,1773043200000
BTCUSDT,81481.06100000,5518180925.89335500,19999696.00000000,1773057600000
BTCUSDT,83098.11600000,5721296976.78840000,19999696.00000000,1773072000000
BTCUSDT,82193.64600000,5668698499.86960000,19999696.00000000,1773086400000
BTCUSDT,81593.01100000,5580886459.35348800,19999696.00000000,1773100800000
BTCUSDT,82151.98300000,5700608252.35300000,20000118.00000000,1773115200000
BTCUSDT,82064.25500000,5774869830.77550000,20000118.00000000,1773129600000
BTCUSDT,83215.93500000,5872914683.06400000,20000118.00000000,1773144000000
BTCUSDT,83049.29000000,5921709814.01705600,20000118.00000000,1773158400000
BTCUSDT,81710.67200000,5719918632.41120000,20000118.00000000,1773172800000
BTCUSDT,80589.96200000,5633753832.23585600,20000118.00000000,1773187200000
BTCUSDT,81013.24400000,5631826485.96729850,20000559.00000000,1773201600000
BTCUSDT,81442.12100000,5669463961.68690600,20000559.00000000,1773216000000
BTCUSDT,81270.81700000,5619446260.21990000,20000559.00000000,1773230400000
BTCUSDT,81950.64700000,5751111091.69959500,20000559.00000000,1773244800000
BTCUSDT,82714.59700000,5840122125.09557300,20000559.00000000,1773259200000
BTCUSDT,82660.24300000,5798607780.42570000,20000559.00000000,1773273600000
BTCUSDT,81565.82000000,5660671514.62767300,20000978.00000000,1773288000000
BTCUSDT,81843.55800000,5712100632.68671500,20000978.00000000,1773302400000
BTCUSDT,81961.39700000,5769803680.05020000,20000978.00000000,1773316800000
BTCUSDT,83394.98800000,5861727177.88325100,20000978.00000000,1773331200000
BTCUSDT,83873.96300000,5905057276.27977300,20000978.00000000,1773345600000
BTCUSDT,84271.19300000,5940047298.44662900,20000978.00000000,1773360000000
BTCUSDT,85626.93200000,6111348945.99005800,20001396.00000000,1773374400000
BTCUSDT,86634.83600000,6201780725.51080000,20001396.00000000,1773388800000
BTCUSDT,88820.26800000,6412219371.77760000,20001396.00000000,1773403200000
BTCUSDT,88762.95300000,6373323393.64939100,20001396.00000000,1773417600000
