buySellRatio,sellVol,buyVol,timestamp
0.9689,34680.1230,33601.7180,1772539200000
1.0698,29858.2970,31943.3510,1772553600000
0.9906,10425.5130,10327.8050,1772568000000
0.9738,17175.3320,16725.2080,1772582400000
1.3403,16914.0720,22669.4730,1772596800000
1.1182,45073.8380,50401.9690,1772611200000
1.2284,41769.8560,51311.9690,1772625600000
1.0823,32442.0040,35111.3000,1772640000000
1.0123,15006.5850,15190.6360,1772654400000
1.0394,11651.1480,12110.7550,1772668800000
0.8921,17410.2100,15531.2950,1772683200000
1.0556,18824.7280,19871.3890,1772697600000
1.0179,31026.4210,31581.4380,1772712000000
0.9437,26471.1910,24980.7520,1772726400000
1.0134,9263.8910,9387.7700,1772740800000
1.0060,11713.4840,11783.7030,1772755200000
0.9807,15174.6810,14882.2550,1772769600000
0.8989,13338.9030,11990.7650,1772784000000
0.9030,45185.0480,40801.5530,1772798400000
0.9225,18345.6370,16923.2050,1772812800000
1.0445,7826.1220,8174.7100,1772827200000
1.0734,6952.8710,7463.2030,1772841600000
0.9016,10797.5190,9734.6770,1772856000000
1.0571,6813.2810,7202.5170,1772870400000
0.9519,6943.4900,6609.6810,1772884800000
0.7388,11374.5050,8403.8220,1772899200000
1.0906,6531.2670,7122.7900,1772913600000
0.9536,8762.5360,8355.6670,1772928000000
1.0827,9012.7930,9757.8870,1772942400000
1.2654,12404.0040,15695.4430,1772956800000
0.9314,14282.0930,13301.9910,1772971200000
1.0198,9412.9710,9599.4860,1772985600000
0.8150,26033.8600,21217.2790,1773000000000
1.1036,19789.7550,21839.0580,1773014400000
1.0071,21454.2420,21607.2770,1773028800000
1.0865,16111.3220,17505.1870,1773043200000
1.0259,32028.6280,32856.9920,1773057600000
1.0980,19134.1430,21008.8420,1773072000000
1.0098,7647.4360,7722.0540,1773086400000
1.0653,25029.1080,26664.4430,1773100800000
1.1684,13126.9480,15337.8000,1773115200000
1.1049,18595.1650,20546.5750,1773129600000
1.0053,40124.5380,40338.7060,1773144000000
0.9743,22189.1800,21618.6730,1773158400000
1.0000,11966.5560,11966.6150,1773172800000
0.9070,10582.3400,9598.6330,1773187200000
1.1280,10663.6340,12028.5540,1773201600000
0.8977,10404.0950,9339.6270,1773216000000
1.0551,39896.7150,42093.9220,1773230400000
1.0583,18325.9150,19394.0060,1773244800000
1.1030,7275.0610,8024.6660,1773259200000
1.0576,12109.0030,12806.0690,1773273600000
1.1149,8439.9780,9409.7800,1773288000000
1.0427,17399.9990,18143.0800,1773302400000
0.8997,32087.6680,28867.8290,1773316800000
0.9965,16686.5400,16627.6870,1773331200000
1.0550,7762.1560,8188.8960,1773345600000
1.1296,23246.5250,26260.0140,1773360000000
1.2453,10239.6230,12751.6900,1773374400000
1.1231,20840.5930,23406.3820,1773388800000
1.0846,46002.7370,49894.4190,1773403200000
1.0511,33169.8080,34865.1390,1773417600000
0.9307,11086.1500,10318.0850,1773432000000
1.1294,8463.9510,9559.5630,1773446400000
0.8346,11408.7680,9521.2750,1773460800000
0.9933,5977.0460,5936.8050,1773475200000
0.9747,6497.0310,6332.9020,1773489600000
1.0304,2831.0110,2916.9630,1773504000000
1.2361,4692.0110,5799.5960,1773518400000
0.9951,8645.3050,8603.2150,1773532800000
1.0299,7967.9400,8205.8090,1773547200000
1.1797,6563.7460,7743.2820,1773561600000
0.9807,9919.2890,9727.8150,1773576000000
1.1968,7852.5740,9397.8710,1773590400000
1.2208,19331.1530,23600.1080,1773604800000
1.1902,23337.6860,27776.6700,1773619200000
1.1265,26523.3210,29877.3570,1773633600000
1.0977,14839.2810,16289.4150,1773648000000
1.0177,32491.2570,33067.3820,1773662400000
1.1771,14737.1950,17347.5870,1773676800000
1.1307,16218.9290,18338.2700,1773691200000
1.0881,28251.5660,30740.0520,1773705600000
0.9475,18098.8110,17148.8850,1773720000000
1.0172,14722.3780,14976.2280,1773734400000
1.0968,24764.9440,27162.9810,1773748800000
