timestamp,long_percent,short_percent,ratio
2020-05-16T00:00:00,53.19,46.81,1.14
2020-05-17T00:00:00,52.1,47.9,1.09
2020-05-18T00:00:00,52.65,47.35,1.11
2020-05-19T00:00:00,52.81,47.19,1.12
2020-05-20T00:00:00,53.05,46.95,1.13
2020-05-21T00:00:00,51.97,48.03,1.08
2020-05-22T00:00:00,52.16,47.84,1.09
2020-05-23T00:00:00,51.83,48.17,1.08
2020-05-24T00:00:00,52.38,47.62,1.1
2020-05-25T00:00:00,52.11,47.89,1.09
2020-05-26T00:00:00,51.65,48.35,1.07
2020-05-27T00:00:00,52.23,47.77,1.09
2020-05-28T00:00:00,51.87,48.13,1.08
2020-05-29T00:00:00,51.87,48.13,1.08
2020-05-30T00:00:00,52.61,47.39,1.11
2020-05-31T00:00:00,52.54,47.46,1.11
2020-06-01T00:00:00,52.92,47.08,1.12
2020-06-02T00:00:00,54.29,45.71,1.19
2020-06-03T00:00:00,53.73,46.27,1.16
2020-06-04T00:00:00,52.97,47.03,1.13
2020-06-05T00:00:00,53.21,46.79,1.14
2020-06-06T00:00:00,52.94,47.06,1.13
2020-06-07T00:00:00,52.94,47.06,1.13
2020-06-08T00:00:00,52.88,47.12,1.12
2020-06-09T00:00:00,53.13,46.87,1.13
2020-06-10T00:00:00,53.42,46.58,1.15
2020-06-11T00:00:00,53.38,46.62,1.15
2020-06-12T00:00:00,52.6,47.4,1.11
2020-06-13T00:00:00,51.79,48.21,1.07
2020-06-14T00:00:00,51.9,48.1,1.08
2020-06-15T00:00:00,51.86,48.14,1.08
2020-06-16T00:00:00,52.23,47.77,1.09
2020-06-17T00:00:00,52.37,47.63,1.1
2020-06-18T00:00:00,52.37,47.63,1.1
2020-06-19T00:00:00,51.63,48.37,1.07
2020-06-20T00:00:00,51.83,48.17,1.08
2020-06-21T00:00:00,51.83,48.17,1.08
2020-06-22T00:00:00,51.81,48.19,1.08
2020-06-23T00:00:00,51.94,48.06,1.08
2020-06-24T00:00:00,53.46,46.54,1.15
2020-06-25T00:00:00,52.21,47.79,1.09
2020-06-26T00:00:00,51.76,48.24,1.07
2020-06-27T00:00:00,52.17,47.83,1.09
2020-06-28T00:00:00,51.45,48.55,1.06
2020-06-29T00:00:00,51.75,48.25,1.07
2020-06-30T00:00:00,51.71,48.29,1.07
2020-07-01T00:00:00,52.16,47.84,1.09
2020-07-02T00:00:00,51.71,48.29,1.07
2020-07-03T00:00:00,52.45,47.55,1.1
2020-07-04T00:00:00,52.18,47.82,1.09
2020-07-05T00:00:00,52.39,47.61,1.1
2020-07-06T00:00:00,52.2,47.8,1.09
2020-07-07T00:00:00,51.99,48.01,1.08
2020-07-08T00:00:00,51.92,48.08,1.08
2020-07-09T00:00:00,51.72,48.28,1.07
2020-07-10T00:00:00,52.67,47.33,1.11
2020-07-11T00:00:00,52.36,47.64,1.1
2020-07-12T00:00:00,52.29,47.71,1.1
2020-07-13T00:00:00,52.28,47.72,1.1
2020-07-14T00:00:00,52.45,47.55,1.1
2020-07-15T00:00:00,52.38,47.62,1.1
2020-07-16T00:00:00,52.38,47.62,1.1
2020-07-17T00:00:00,52.5,47.5,1.11
2020-07-18T00:00:00,51.97,48.03,1.08
2020-07-19T00:00:00,52.16,47.84,1.09
2020-07-20T00:00:00,52.49,47.51,1.11
2020-07-21T00:00:00,52.38,47.62,1.1
2020-07-22T00:00:00,51.55,48.45,1.06
2020-07-23T00:00:00,52.01,47.99,1.08
2020-07-24T00:00:00,52.93,47.07,1.12
2020-07-25T00:00:00,52.57,47.43,1.11
2020-07-26T00:00:00,52.38,47.62,1.1
2020-07-27T00:00:00,54.28,45.72,1.19
2020-07-28T00:00:00,56.27,43.73,1.29
2020-07-29T00:00:00,58.32,41.68,1.4
2020-07-30T00:00:00,57.47,42.53,1.35
2020-07-31T00:00:00,57.47,42.53,1.35
2020-08-01T00:00:00,55.95,44.05,1.27
2020-08-02T00:00:00,55.95,44.05,1.27
2020-08-03T00:00:00,57.7,42.3,1.36
2020-08-04T00:00:00,56.58,43.42,1.3
2020-08-05T00:00:00,56.03,43.97,1.27
2020-08-06T00:00:00,55.39,44.61,1.24
2020-08-07T00:00:00,55.05,44.95,1.23
2020-08-08T00:00:00,54.2,45.8,1.18
2020-08-09T00:00:00,55.41,44.59,1.24
2020-08-10T00:00:00,55.05,44.95,1.23
2020-08-11T00:00:00,55.56,44.44,1.25
2020-08-12T00:00:00,55.56,44.44,1.25
2020-08-13T00:00:00,54.31,45.69,1.19
2020-08-14T00:00:00,55.43,44.57,1.24
2020-08-15T00:00:00,54.66,45.34,1.21
2020-08-16T00:00:00,54.66,45.34,1.21
2020-08-17T00:00:00,53.89,46.11,1.17
2020-08-18T00:00:00,54.22,45.78,1.18
2020-08-19T00:00:00,55.2,44.8,1.23
2020-08-20T00:00:00,54.93,45.07,1.22
2020-08-21T00:00:00,54.93,45.07,1.22
2020-08-22T00:00:00,54.98,45.02,1.22
2020-08-23T00:00:00,54.9,45.1,1.22
2020-08-24T00:00:00,55.11,44.89,1.23
2020-08-25T00:00:00,54.65,45.35,1.21
2020-08-26T00:00:00,55.43,44.57,1.24
2020-08-27T00:00:00,55.52,44.48,1.25
2020-08-28T00:00:00,54.95,45.05,1.22
2020-08-29T00:00:00,54.95,45.05,1.22
2020-08-30T00:00:00,54.24,45.76,1.19
2020-08-31T00:00:00,54.24,45.76,1.19
2020-09-01T00:00:00,55.16,44.84,1.23
2020-09-02T00:00:00,55.47,44.53,1.25
2020-09-03T00:00:00,56.05,43.95,1.28
2020-09-04T00:00:00,56.05,43.95,1.28
2020-09-05T00:00:00,55.43,44.57,1.24
2020-09-06T00:00:00,55.83,44.17,1.26
2020-09-07T00:00:00,55.83,44.17,1.26
2020-09-08T00:00:00,55.95,44.05,1.27
2020-09-09T00:00:00,55.54,44.46,1.25
2020-09-10T00:00:00,54.7,45.3,1.21
2020-09-11T00:00:00,54.56,45.44,1.2
2020-09-12T00:00:00,55.0,45.0,1.22
2020-09-13T00:00:00,54.31,45.69,1.19
2020-09-14T00:00:00,53.55,46.45,1.15
2020-09-15T00:00:00,52.53,47.47,1.11
2020-09-16T00:00:00,52.85,47.15,1.12
2020-09-17T00:00:00,52.93,47.07,1.12
2020-09-18T00:00:00,53.35,46.65,1.14
2020-09-19T00:00:00,52.73,47.27,1.12
2020-09-20T00:00:00,52.64,47.36,1.11
2020-09-21T00:00:00,52.81,47.19,1.12
2020-09-22T00:00:00,53.61,46.39,1.16
2020-09-23T00:00:00,53.49,46.51,1.15
2020-09-24T00:00:00,52.66,47.34,1.11
2020-09-25T00:00:00,52.66,47.34,1.11
2020-09-26T00:00:00,53.05,46.95,1.13
2020-09-27T00:00:00,53.07,46.93,1.13
